"","Level","Date","State.FIPS","State.Postal.Code","County.FIPS","County.Name","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips..1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips...500","Row.ID","Week","Month"
"48986","County","2019/01/01",12,"FL",12057,"Hillsborough County",298727,1173241,3643810,1032726,940530,419572,540665,478669,149408,44076,26650,5683,5831,"12-12057-20190101",0,1
"49680","County","2019/01/02",12,"FL",12057,"Hillsborough County",237645,1234323,4624787,1216663,1159005,550046,715518,706129,188779,48795,28319,6252,5281,"12-12057-20190102",0,1
"52813","County","2019/01/03",12,"FL",12057,"Hillsborough County",243063,1228905,4746919,1251372,1181637,566944,734610,740364,186458,46907,27357,6246,5024,"12-12057-20190103",0,1
"56641","County","2019/01/04",12,"FL",12057,"Hillsborough County",234907,1237061,4684218,1214772,1154214,576228,732124,732403,182900,50274,29729,6508,5066,"12-12057-20190104",0,1
"61492","County","2019/01/05",12,"FL",12057,"Hillsborough County",246895,1225073,4807905,1271064,1223794,608908,736749,689474,185714,51739,29515,6446,4502,"12-12057-20190105",0,1
"62894","County","2019/01/06",12,"FL",12057,"Hillsborough County",255351,1216617,4377881,1137824,1161993,553195,673282,597943,167960,47581,27757,5711,4635,"12-12057-20190106",1,1
"66320","County","2019/01/07",12,"FL",12057,"Hillsborough County",244856,1227112,4680288,1274728,1174046,566325,713481,703617,172071,42436,23825,5077,4682,"12-12057-20190107",1,1
"70744","County","2019/01/08",12,"FL",12057,"Hillsborough County",243800,1228168,4688179,1253960,1178831,559218,732709,718203,167045,43490,24167,5778,4778,"12-12057-20190108",1,1
"72091","County","2019/01/09",12,"FL",12057,"Hillsborough County",238243,1233725,4597263,1196803,1173940,559294,724664,696048,162533,46108,27095,6239,4539,"12-12057-20190109",1,1
"74786","County","2019/01/10",12,"FL",12057,"Hillsborough County",234430,1237538,4730029,1252007,1187174,572524,742545,720618,168190,47627,28704,5621,5019,"12-12057-20190110",1,1
"77975","County","2019/01/11",12,"FL",12057,"Hillsborough County",229483,1242485,4824514,1214670,1220107,598025,776878,748586,173590,52319,28805,6189,5345,"12-12057-20190111",1,1
"83404","County","2019/01/12",12,"FL",12057,"Hillsborough County",239066,1232902,4891540,1253088,1243638,605030,781783,730872,183918,52961,29390,6114,4746,"12-12057-20190112",1,1
"84899","County","2019/01/13",12,"FL",12057,"Hillsborough County",250032,1221936,4391050,1134139,1161423,532200,689010,613605,170689,49902,29642,5868,4572,"12-12057-20190113",2,1
"89309","County","2019/01/14",12,"FL",12057,"Hillsborough County",237170,1234798,4712095,1286339,1173932,556066,725169,705804,179706,46186,28509,5649,4735,"12-12057-20190114",2,1
"92510","County","2019/01/15",12,"FL",12057,"Hillsborough County",236198,1235770,4673615,1255112,1171590,558865,723750,702421,176730,46160,28408,5697,4882,"12-12057-20190115",2,1
"94652","County","2019/01/16",12,"FL",12057,"Hillsborough County",233830,1238138,4662337,1220370,1168663,558051,736801,717259,172783,45027,32802,5549,5032,"12-12057-20190116",2,1
"99386","County","2019/01/17",12,"FL",12057,"Hillsborough County",237124,1234844,4812545,1258473,1200257,580768,756874,744379,179289,45750,34757,6228,5770,"12-12057-20190117",2,1
"101367","County","2019/01/18",12,"FL",12057,"Hillsborough County",235523,1236445,4890053,1227591,1241286,614723,779365,749068,181796,50693,33215,6941,5375,"12-12057-20190118",2,1
"103982","County","2019/01/19",12,"FL",12057,"Hillsborough County",240463,1231505,4863429,1234630,1225074,608623,774429,726225,194982,53911,34037,6639,4879,"12-12057-20190119",2,1
"106035","County","2019/01/20",12,"FL",12057,"Hillsborough County",255220,1216748,4280987,1094286,1144460,528067,667682,583825,170390,48708,32636,6363,4570,"12-12057-20190120",3,1
"109150","County","2019/01/21",12,"FL",12057,"Hillsborough County",245800,1226168,4497984,1165450,1152592,554716,698649,652181,180226,50604,33027,5961,4578,"12-12057-20190121",3,1
"112694","County","2021/06/06",12,"FL",12057,"Hillsborough County",290737,1181231,4687186,1422049,1170196,578524,722613,556821,152879,48004,26485,4297,5318,"12-12057-20210606",23,6
"115885","County","2021/06/07",12,"FL",12057,"Hillsborough County",276667,1195301,5728036,1792010,1402644,699691,865347,721488,179776,37958,20585,3144,5393,"12-12057-20210607",23,6
"118988","County","2021/06/08",12,"FL",12057,"Hillsborough County",277714,1194254,5582058,1603977,1338409,698272,906999,767087,199835,42301,16827,3427,4924,"12-12057-20210608",23,6
"122198","County","2021/06/09",12,"FL",12057,"Hillsborough County",278216,1193752,5389899,1482971,1301862,681523,899608,756335,198722,43886,17109,3054,4829,"12-12057-20210609",23,6
"125164","County","2021/06/10",12,"FL",12057,"Hillsborough County",276113,1195855,5264551,1487587,1306105,641857,848334,730137,183700,40227,17778,3353,5473,"12-12057-20210610",23,6
"128496","County","2021/06/11",12,"FL",12057,"Hillsborough County",267540,1204428,5647121,1636975,1344661,709630,910260,768762,192212,47740,26641,4467,5773,"12-12057-20210611",23,6
"131577","County","2021/06/12",12,"FL",12057,"Hillsborough County",278158,1193810,5015883,1402606,1253214,623871,822147,650866,177788,51053,24788,4552,4998,"12-12057-20210612",23,6
"137414","County","2021/06/13",12,"FL",12057,"Hillsborough County",294894,1177074,4440898,1317465,1104678,552003,684576,551475,149291,47206,22877,4719,6608,"12-12057-20210613",24,6
"138324","County","2021/06/14",12,"FL",12057,"Hillsborough County",274419,1197549,5320170,1563951,1312820,651419,823282,716070,183486,37711,22417,3617,5397,"12-12057-20210614",24,6
"141414","County","2021/06/15",12,"FL",12057,"Hillsborough County",267174,1204794,5643451,1696213,1380013,688457,864537,757526,183565,36387,26935,3545,6273,"12-12057-20210615",24,6
"144613","County","2021/06/16",12,"FL",12057,"Hillsborough County",272980,1198988,5459829,1569033,1306704,672547,868131,778044,190353,42251,24356,3556,4854,"12-12057-20210616",24,6
"147641","County","2021/06/17",12,"FL",12057,"Hillsborough County",269993,1201975,5475517,1639676,1307346,664675,842880,761768,185084,39644,23769,3667,7008,"12-12057-20210617",24,6
"150886","County","2021/06/18",12,"FL",12057,"Hillsborough County",261527,1210441,5848736,1694809,1419073,734179,947868,768069,195254,47127,30608,5168,6581,"12-12057-20210618",24,6
"153969","County","2021/06/19",12,"FL",12057,"Hillsborough County",276290,1195678,5268153,1504662,1304159,672507,840323,671790,184495,52851,28341,4741,4284,"12-12057-20210619",24,6
"157484","County","2019/01/22",12,"FL",12057,"Hillsborough County",237548,1234420,4443900,1135850,1069367,541585,704786,711876,185025,51184,34393,5408,4426,"12-12057-20190122",3,1
"162821","County","2019/01/23",12,"FL",12057,"Hillsborough County",237369,1234599,4621143,1210425,1141938,562022,714668,712742,182575,52406,32991,6357,5019,"12-12057-20190123",3,1
"164745","County","2019/01/24",12,"FL",12057,"Hillsborough County",237184,1234784,4607271,1201603,1146143,562096,717614,701564,179839,53757,33667,6003,4985,"12-12057-20190124",3,1
"166909","County","2019/01/25",12,"FL",12057,"Hillsborough County",234505,1237463,4746531,1199594,1177872,588144,752923,735421,190862,54826,34887,6757,5245,"12-12057-20190125",3,1
"169911","County","2019/01/26",12,"FL",12057,"Hillsborough County",246473,1225495,4725951,1272907,1186397,577097,732866,677869,178432,55583,33841,6603,4356,"12-12057-20190126",3,1
"174663","County","2019/01/27",12,"FL",12057,"Hillsborough County",266061,1205907,3968151,1001931,1047267,507838,617691,535775,158771,51658,35485,6411,5324,"12-12057-20190127",4,1
"177421","County","2019/01/28",12,"FL",12057,"Hillsborough County",240626,1231342,4638192,1243524,1164725,554690,707512,696269,176352,51725,32733,5623,5039,"12-12057-20190128",4,1
"180899","County","2019/01/29",12,"FL",12057,"Hillsborough County",240376,1231592,4652057,1209630,1156400,562066,724480,724576,182528,49812,31099,5692,5774,"12-12057-20190129",4,1
"184446","County","2019/01/30",12,"FL",12057,"Hillsborough County",234790,1237178,4631971,1197451,1148507,561166,734066,716100,180092,51654,31267,5910,5758,"12-12057-20190130",4,1
"186474","County","2019/01/31",12,"FL",12057,"Hillsborough County",233482,1238486,4800115,1275235,1192601,572539,758884,725414,183481,52411,28311,5546,5693,"12-12057-20190131",4,1
"190716","County","2019/02/01",12,"FL",12057,"Hillsborough County",231936,1240032,4968631,1294992,1254849,622795,775447,740799,186230,54852,27292,5898,5477,"12-12057-20190201",4,2
"191714","County","2019/02/02",12,"FL",12057,"Hillsborough County",242429,1229539,4907125,1309251,1270653,617212,749276,679786,187540,56365,26590,5423,5029,"12-12057-20190202",4,2
"196212","County","2019/02/03",12,"FL",12057,"Hillsborough County",252621,1219347,4524258,1208868,1232340,557098,675686,586270,173679,53580,26061,5087,5589,"12-12057-20190203",5,2
"200061","County","2019/02/04",12,"FL",12057,"Hillsborough County",235420,1236548,4716523,1224921,1194282,578740,726264,704488,191360,57016,27008,6104,6340,"12-12057-20190204",5,2
"203067","County","2019/02/05",12,"FL",12057,"Hillsborough County",238077,1233891,4792029,1248576,1218936,586340,738910,724380,188011,50799,24802,5484,5791,"12-12057-20190205",5,2
"207174","County","2019/02/06",12,"FL",12057,"Hillsborough County",236371,1235597,4720973,1218604,1193940,577408,722897,730374,186546,44928,25943,9771,10562,"12-12057-20190206",5,2
"207749","County","2019/02/07",12,"FL",12057,"Hillsborough County",225958,1246010,4802655,1216406,1173726,585275,752449,762278,203056,58218,35767,7685,7795,"12-12057-20190207",5,2
"211882","County","2019/02/08",12,"FL",12057,"Hillsborough County",226677,1245291,4855124,1207673,1184329,600876,768975,778155,207737,59319,34155,6943,6962,"12-12057-20190208",5,2
"215111","County","2019/02/09",12,"FL",12057,"Hillsborough County",234927,1237041,4883062,1252291,1226486,608794,754491,726204,207135,61977,32262,7080,6342,"12-12057-20190209",5,2
"219213","County","2019/02/10",12,"FL",12057,"Hillsborough County",251611,1220357,4398345,1135902,1149034,540061,662381,615784,186878,61391,32907,6712,7295,"12-12057-20190210",6,2
"221415","County","2019/02/11",12,"FL",12057,"Hillsborough County",235908,1236060,4654506,1185394,1144553,568130,723795,733015,195260,57953,32104,6735,7567,"12-12057-20190211",6,2
"223267","County","2019/02/12",12,"FL",12057,"Hillsborough County",234073,1237895,4698677,1216407,1156261,563083,725393,739490,195768,58537,30265,6689,6784,"12-12057-20190212",6,2
"228463","County","2019/02/13",12,"FL",12057,"Hillsborough County",232080,1239888,4692355,1222800,1160565,563751,721094,722671,198786,58736,30730,6748,6474,"12-12057-20190213",6,2
"229588","County","2019/02/14",12,"FL",12057,"Hillsborough County",230622,1241346,4832587,1225722,1202977,584699,754250,759613,203086,58015,30768,6792,6665,"12-12057-20190214",6,2
"232902","County","2019/02/15",12,"FL",12057,"Hillsborough County",226934,1245034,4866709,1212117,1199791,584588,775452,778856,207479,61529,32797,7060,7040,"12-12057-20190215",6,2
"235707","County","2019/02/16",12,"FL",12057,"Hillsborough County",238566,1233402,4879561,1273049,1224790,599997,757324,712583,204780,63132,31419,6668,5819,"12-12057-20190216",6,2
"239254","County","2019/02/17",12,"FL",12057,"Hillsborough County",248229,1223739,4580342,1220414,1199492,548966,690549,643882,183804,52567,29133,6037,5498,"12-12057-20190217",7,2
"242372","County","2019/02/18",12,"FL",12057,"Hillsborough County",238845,1233123,4701895,1241784,1183716,559126,717638,713861,190957,55007,27536,6055,6215,"12-12057-20190218",7,2
"245165","County","2019/02/19",12,"FL",12057,"Hillsborough County",231401,1240567,4919617,1302624,1234972,604634,747973,752880,184135,51565,27905,6612,6317,"12-12057-20190219",7,2
"249490","County","2019/02/20",12,"FL",12057,"Hillsborough County",228051,1243917,5026387,1284936,1245003,610973,790182,790074,207366,54970,29274,6546,7063,"12-12057-20190220",7,2
"252589","County","2019/02/21",12,"FL",12057,"Hillsborough County",228155,1243813,5007441,1307093,1226640,612057,785265,785386,195148,52800,29468,6550,7034,"12-12057-20190221",7,2
"254940","County","2019/02/22",12,"FL",12057,"Hillsborough County",214538,1257430,5063995,1298517,1229066,635427,796566,808949,198453,53351,30591,6521,6554,"12-12057-20190222",7,2
"258032","County","2019/02/23",12,"FL",12057,"Hillsborough County",229017,1242951,5164726,1355192,1283950,639399,814584,765432,208643,56356,29217,6533,5420,"12-12057-20190223",7,2
"263547","County","2019/02/24",12,"FL",12057,"Hillsborough County",238943,1233025,4453556,1154795,1149588,549724,681458,634948,189004,54181,28475,6183,5200,"12-12057-20190224",8,2
"264324","County","2019/02/25",12,"FL",12057,"Hillsborough County",222503,1249465,4754245,1248535,1151356,575534,741621,750256,193215,51835,29120,6656,6117,"12-12057-20190225",8,2
"269935","County","2019/02/26",12,"FL",12057,"Hillsborough County",220101,1251867,4550606,1195697,1093578,537250,702991,739749,190253,49361,28717,6512,6498,"12-12057-20190226",8,2
"270622","County","2019/02/27",12,"FL",12057,"Hillsborough County",219500,1252468,4962836,1306687,1232483,606917,766953,776814,189029,46819,25961,5425,5748,"12-12057-20190227",8,2
"273788","County","2019/02/28",12,"FL",12057,"Hillsborough County",220515,1251453,5139810,1320489,1273618,642692,798940,826663,193668,47380,24974,5280,6106,"12-12057-20190228",8,2
"276957","County","2019/03/01",12,"FL",12057,"Hillsborough County",217601,1254367,5074314,1283162,1250808,641984,807414,804003,193898,49521,30608,6640,6276,"12-12057-20190301",8,3
"280104","County","2019/03/02",12,"FL",12057,"Hillsborough County",230414,1241554,5088648,1311160,1268013,640020,805661,762420,206314,54025,28846,6576,5613,"12-12057-20190302",8,3
"283226","County","2019/03/03",12,"FL",12057,"Hillsborough County",244584,1227384,4587654,1168458,1172355,565629,715086,672343,203656,52145,26536,5858,5588,"12-12057-20190303",9,3
"286343","County","2019/03/04",12,"FL",12057,"Hillsborough County",229773,1242195,4756665,1262469,1139214,574428,737477,747312,203856,51813,27797,6204,6095,"12-12057-20190304",9,3
"291352","County","2019/03/05",12,"FL",12057,"Hillsborough County",223107,1248861,4821439,1287848,1169156,587367,742457,753947,194538,47326,27529,6078,5193,"12-12057-20190305",9,3
"295069","County","2019/03/06",12,"FL",12057,"Hillsborough County",223495,1248473,4999793,1297876,1233903,615176,786259,784362,196553,47245,26957,5938,5524,"12-12057-20190306",9,3
"298258","County","2019/03/07",12,"FL",12057,"Hillsborough County",213266,1258702,5159809,1337066,1278056,635081,815357,822677,187005,43847,28660,6618,5442,"12-12057-20190307",9,3
"299023","County","2019/03/08",12,"FL",12057,"Hillsborough County",224662,1247306,5452771,1363899,1352557,684329,863061,878072,209048,55992,33137,6453,6223,"12-12057-20190308",9,3
"304480","County","2019/03/09",12,"FL",12057,"Hillsborough County",233516,1238452,5499967,1420565,1385643,692618,853963,829174,217456,57888,30688,6466,5506,"12-12057-20190309",9,3
"305155","County","2019/03/10",12,"FL",12057,"Hillsborough County",238684,1233284,4855241,1241420,1258091,602263,752200,692513,207774,57907,31215,6250,5608,"12-12057-20190310",10,3
"309329","County","2019/03/11",12,"FL",12057,"Hillsborough County",224808,1247160,5379174,1374317,1338780,655388,845356,846398,217127,56335,31333,7005,7135,"12-12057-20190311",10,3
"311503","County","2019/03/12",12,"FL",12057,"Hillsborough County",222072,1249896,5244027,1354169,1312339,633923,806286,838321,206617,51941,28201,5831,6399,"12-12057-20190312",10,3
"316270","County","2019/03/13",12,"FL",12057,"Hillsborough County",225006,1246962,5464004,1363890,1401557,670679,867620,859708,212496,52804,24377,5104,5769,"12-12057-20190313",10,3
"319164","County","2019/03/14",12,"FL",12057,"Hillsborough County",223202,1248766,5517232,1353783,1415510,673479,891608,871552,216091,55043,27840,5704,6622,"12-12057-20190314",10,3
"320848","County","2019/03/15",12,"FL",12057,"Hillsborough County",218736,1253232,5763747,1409138,1438393,713319,936242,926374,232828,61538,32432,6490,6993,"12-12057-20190315",10,3
"324023","County","2019/03/16",12,"FL",12057,"Hillsborough County",230961,1241007,5483355,1394258,1404817,660583,865774,818168,227790,65073,34431,6225,6236,"12-12057-20190316",10,3
"327192","County","2019/03/17",12,"FL",12057,"Hillsborough County",223528,1248440,4911238,1258576,1314736,601494,757918,683188,195231,58575,30020,5315,6185,"12-12057-20190317",11,3
"330472","County","2019/03/18",12,"FL",12057,"Hillsborough County",207782,1264186,5374850,1395085,1310038,635660,829592,869681,234754,57942,29860,6000,6238,"12-12057-20190318",11,3
"333511","County","2019/03/19",12,"FL",12057,"Hillsborough County",210125,1261843,5173291,1318260,1274513,613063,814420,832180,224290,56289,28828,5789,5659,"12-12057-20190319",11,3
"336590","County","2019/03/20",12,"FL",12057,"Hillsborough County",243986,1227982,5805733,1523925,1475521,707451,886348,926880,206107,52542,18858,3486,4615,"12-12057-20190320",11,3
"339844","County","2019/03/21",12,"FL",12057,"Hillsborough County",243918,1228050,5841453,1502627,1489901,708133,896266,946387,216019,52809,20558,4162,4591,"12-12057-20190321",11,3
"342860","County","2019/03/22",12,"FL",12057,"Hillsborough County",243502,1228466,6093286,1528731,1532853,748524,964034,995022,230546,59879,23940,4639,5118,"12-12057-20190322",11,3
"346129","County","2019/03/23",12,"FL",12057,"Hillsborough County",252762,1219206,6004636,1528823,1570101,761447,923560,906337,224229,59343,21579,4401,4816,"12-12057-20190323",11,3
"351586","County","2019/03/24",12,"FL",12057,"Hillsborough County",249401,1222567,5417816,1379970,1482170,676076,810251,772709,203778,59534,23394,4766,5168,"12-12057-20190324",12,3
"352372","County","2019/03/25",12,"FL",12057,"Hillsborough County",232831,1239137,5792454,1493028,1430006,710035,886292,955203,222194,58085,25480,5507,6624,"12-12057-20190325",12,3
"356043","County","2019/03/26",12,"FL",12057,"Hillsborough County",228762,1243206,5794305,1466092,1464500,721535,893519,949407,209841,53715,24226,5050,6420,"12-12057-20190326",12,3
"360989","County","2019/03/27",12,"FL",12057,"Hillsborough County",222939,1249029,6245679,1576284,1626237,784924,959234,1010757,215095,47884,17325,3751,4188,"12-12057-20190327",12,3
"363445","County","2019/03/28",12,"FL",12057,"Hillsborough County",220637,1251331,6370620,1593908,1654641,797161,988842,1043667,216936,47876,19235,3748,4606,"12-12057-20190328",12,3
"365819","County","2019/03/29",12,"FL",12057,"Hillsborough County",221315,1250653,6116438,1469217,1601110,791816,969327,994162,210017,51915,20154,3913,4807,"12-12057-20190329",12,3
"370621","County","2019/03/30",12,"FL",12057,"Hillsborough County",235262,1236706,6047914,1506910,1604657,777268,935666,922236,216138,56594,20779,3816,3850,"12-12057-20190330",12,3
"372953","County","2019/03/31",12,"FL",12057,"Hillsborough County",243477,1228491,5609050,1460184,1511174,699790,827118,814136,209576,56179,22192,4221,4480,"12-12057-20190331",13,3
"374053","County","2019/04/01",12,"FL",12057,"Hillsborough County",243317,1228651,5745798,1443619,1447022,704248,887390,963629,204775,59785,25343,4713,5274,"12-12057-20190401",13,4
"377291","County","2019/04/02",12,"FL",12057,"Hillsborough County",219738,1252230,5975806,1488450,1480201,706316,954167,1053336,211434,52725,21636,3738,3803,"12-12057-20190402",13,4
"380490","County","2019/04/03",12,"FL",12057,"Hillsborough County",221520,1250448,6319070,1599756,1610436,770918,1003356,1046246,214738,49614,17479,3079,3448,"12-12057-20190403",13,4
"383508","County","2019/04/04",12,"FL",12057,"Hillsborough County",217753,1254215,6368945,1616582,1633555,792179,1011334,1022734,216058,48934,19883,3628,4058,"12-12057-20190404",13,4
"389468","County","2019/04/05",12,"FL",12057,"Hillsborough County",215736,1256232,6118195,1504884,1565487,773196,971780,1017104,202736,53466,21642,3759,4141,"12-12057-20190405",13,4
"389974","County","2019/04/06",12,"FL",12057,"Hillsborough County",224226,1247742,6040722,1510496,1565456,760299,973037,925209,221002,56295,21755,3568,3605,"12-12057-20190406",13,4
"392975","County","2019/04/07",12,"FL",12057,"Hillsborough County",240749,1231219,5551035,1406111,1487640,699690,867475,804655,201210,54608,21770,3848,4028,"12-12057-20190407",14,4
"399129","County","2019/04/08",12,"FL",12057,"Hillsborough County",224389,1247579,5762189,1426076,1459243,697024,908380,977181,210808,52624,21999,3939,4915,"12-12057-20190408",14,4
"401825","County","2019/04/09",12,"FL",12057,"Hillsborough County",221137,1250831,5836802,1470100,1500334,714747,908629,967152,197083,49951,20854,3470,4482,"12-12057-20190409",14,4
"403644","County","2019/04/10",12,"FL",12057,"Hillsborough County",225826,1246142,6244570,1584571,1637691,775492,961589,1023087,195254,41509,18041,3213,4123,"12-12057-20190410",14,4
"405628","County","2019/04/11",12,"FL",12057,"Hillsborough County",226353,1245615,6311485,1568105,1629183,795641,999139,1044838,199470,46966,19503,4118,4522,"12-12057-20190411",14,4
"408949","County","2019/04/12",12,"FL",12057,"Hillsborough County",217962,1254006,6110864,1483018,1586688,782374,981776,1006901,195126,44855,21415,4171,4540,"12-12057-20190412",14,4
"412017","County","2019/04/13",12,"FL",12057,"Hillsborough County",240082,1231886,5965725,1452954,1585532,771315,949172,930269,197234,51044,20518,3880,3807,"12-12057-20190413",14,4
"416112","County","2019/04/14",12,"FL",12057,"Hillsborough County",254577,1217391,5419645,1365114,1468375,686629,850676,792098,175477,49992,21940,4932,4412,"12-12057-20190414",15,4
"420012","County","2019/04/15",12,"FL",12057,"Hillsborough County",228295,1243673,5852581,1458159,1514009,748108,925810,943958,187300,44331,21030,4746,5130,"12-12057-20190415",15,4
"421275","County","2019/04/16",12,"FL",12057,"Hillsborough County",223148,1248820,5832636,1458579,1492593,733783,933125,957564,186512,42012,19280,4648,4540,"12-12057-20190416",15,4
"424415","County","2019/04/17",12,"FL",12057,"Hillsborough County",226691,1245277,6110588,1486448,1592395,793939,969942,1012713,187442,41845,17825,3717,4322,"12-12057-20190417",15,4
"427471","County","2019/04/18",12,"FL",12057,"Hillsborough County",228240,1243728,6143865,1498344,1591884,788556,983490,1016487,196943,41987,18292,3612,4270,"12-12057-20190418",15,4
"430752","County","2019/04/19",12,"FL",12057,"Hillsborough County",233680,1238288,5734594,1382792,1494198,725450,926931,955485,178306,42187,21242,3913,4090,"12-12057-20190419",15,4
"435718","County","2019/04/20",12,"FL",12057,"Hillsborough County",242116,1229852,5935268,1452786,1599397,769530,947826,892418,194931,50684,20267,3912,3517,"12-12057-20190420",15,4
"437245","County","2019/04/21",12,"FL",12057,"Hillsborough County",263058,1208910,5259167,1338258,1429288,658076,807291,762733,182891,48213,23157,4912,4348,"12-12057-20190421",16,4
"440280","County","2019/04/22",12,"FL",12057,"Hillsborough County",227211,1244757,6037047,1521061,1555285,735742,949951,968059,226961,51636,21559,2909,3884,"12-12057-20190422",16,4
"443475","County","2019/04/23",12,"FL",12057,"Hillsborough County",220026,1251942,5958836,1498662,1525260,717189,945222,950557,241918,53110,20595,2806,3517,"12-12057-20190423",16,4
"446628","County","2019/04/24",12,"FL",12057,"Hillsborough County",216326,1255642,6209110,1512916,1589478,744541,984740,1055613,244720,52143,19127,2404,3428,"12-12057-20190424",16,4
"450796","County","2019/04/25",12,"FL",12057,"Hillsborough County",208757,1263211,6338483,1543365,1611002,764642,1020051,1078715,243155,52581,18634,2793,3545,"12-12057-20190425",16,4
"452638","County","2019/04/26",12,"FL",12057,"Hillsborough County",213125,1258843,6203307,1483589,1599403,749039,1019636,1038251,230342,54730,21603,3298,3416,"12-12057-20190426",16,4
"455844","County","2019/04/27",12,"FL",12057,"Hillsborough County",235438,1236530,6217529,1494272,1608831,756588,1005398,1000570,261839,62695,21475,3024,2837,"12-12057-20190427",16,4
"460154","County","2019/04/28",12,"FL",12057,"Hillsborough County",231970,1239998,5541931,1365201,1488356,680511,862019,823479,231537,60649,23466,3202,3511,"12-12057-20190428",17,4
"462152","County","2019/04/29",12,"FL",12057,"Hillsborough County",213435,1258533,6053507,1510749,1522609,716352,966357,1004060,244868,59918,21049,3456,4089,"12-12057-20190429",17,4
"466453","County","2019/04/30",12,"FL",12057,"Hillsborough County",211484,1260484,6123726,1514603,1545586,734013,1011521,989294,241645,59133,21558,3162,3211,"12-12057-20190430",17,4
"468552","County","2019/05/01",12,"FL",12057,"Hillsborough County",216441,1255527,6409283,1596710,1689889,792449,998345,1019785,239009,50393,17860,2356,2487,"12-12057-20190501",17,5
"471724","County","2019/05/02",12,"FL",12057,"Hillsborough County",218655,1253313,6338561,1563247,1651727,769172,1002776,1034555,243131,51406,17390,2258,2899,"12-12057-20190502",17,5
"474929","County","2019/05/03",12,"FL",12057,"Hillsborough County",219447,1252521,6517628,1561898,1698450,853176,1039490,1064986,222377,50973,20368,2906,3004,"12-12057-20190503",17,5
"477993","County","2019/05/04",12,"FL",12057,"Hillsborough County",233547,1238421,6267791,1540368,1659182,819456,969987,967463,228803,57013,20317,2770,2432,"12-12057-20190504",17,5
"481168","County","2019/05/05",12,"FL",12057,"Hillsborough County",242958,1229010,5533835,1428678,1530335,704359,842040,757966,189404,54847,20293,3030,2883,"12-12057-20190505",18,5
"484365","County","2019/05/06",12,"FL",12057,"Hillsborough County",219757,1252211,5682094,1360934,1506712,730433,908956,924113,189825,40811,13032,2075,5203,"12-12057-20190506",18,5
"487428","County","2019/05/07",12,"FL",12057,"Hillsborough County",211502,1260466,6007955,1446729,1579944,767448,969492,987346,195892,41779,11872,2212,5241,"12-12057-20190507",18,5
"490616","County","2019/05/08",12,"FL",12057,"Hillsborough County",211430,1260538,5994852,1458675,1577797,770240,942488,988348,195870,40742,12462,2269,5961,"12-12057-20190508",18,5
"493698","County","2019/05/09",12,"FL",12057,"Hillsborough County",210755,1261213,6116317,1492288,1621674,773849,980806,985710,197808,42759,13616,2457,5350,"12-12057-20190509",18,5
"496915","County","2019/05/10",12,"FL",12057,"Hillsborough County",205465,1266503,5908143,1353817,1563673,766485,973993,983929,197538,44816,15721,2863,5308,"12-12057-20190510",18,5
"499986","County","2019/05/11",12,"FL",12057,"Hillsborough County",216665,1255303,5897629,1409910,1602295,760636,956886,896530,200200,47947,15125,2424,5676,"12-12057-20190511",18,5
"503123","County","2019/05/12",12,"FL",12057,"Hillsborough County",226262,1245706,5175426,1191982,1404044,644464,856257,803269,197715,51974,15899,2752,7070,"12-12057-20190512",19,5
"507201","County","2019/05/13",12,"FL",12057,"Hillsborough County",215031,1256937,5403225,1274471,1412567,666393,888195,910686,186756,41073,13701,2392,6991,"12-12057-20190513",19,5
"511242","County","2019/05/14",12,"FL",12057,"Hillsborough County",210139,1261829,5831994,1435206,1521871,724099,958012,942074,187517,41148,13352,2332,6383,"12-12057-20190514",19,5
"513512","County","2019/05/15",12,"FL",12057,"Hillsborough County",205422,1266546,6010027,1466860,1546862,740080,995860,996325,198358,43113,12623,2582,7364,"12-12057-20190515",19,5
"515586","County","2019/05/16",12,"FL",12057,"Hillsborough County",204588,1267380,5795214,1341753,1479356,730179,986567,993800,195500,44357,14062,2551,7089,"12-12057-20190516",19,5
"518747","County","2019/05/17",12,"FL",12057,"Hillsborough County",201894,1270074,6188056,1479642,1606097,786297,1025028,1015167,202818,46624,16428,2481,7474,"12-12057-20190517",19,5
"523832","County","2019/05/18",12,"FL",12057,"Hillsborough County",216687,1255281,5899971,1429116,1535925,745468,998609,902030,215587,48803,15008,2557,6868,"12-12057-20190518",19,5
"526169","County","2019/05/19",12,"FL",12057,"Hillsborough County",229942,1242026,5321734,1270824,1453515,647351,886118,796681,192466,47467,17079,3219,7014,"12-12057-20190519",20,5
"528211","County","2019/05/20",12,"FL",12057,"Hillsborough County",212017,1259951,5669999,1329369,1448074,694389,981658,965377,187041,40147,14406,2777,6761,"12-12057-20190520",20,5
"531318","County","2019/05/21",12,"FL",12057,"Hillsborough County",210581,1261387,5971676,1433033,1524525,751725,997454,1015345,188256,39826,13092,2024,6396,"12-12057-20190521",20,5
"534431","County","2019/05/22",12,"FL",12057,"Hillsborough County",206649,1265319,6054143,1473186,1551807,740376,1019135,1016081,191097,40608,13907,2090,5856,"12-12057-20190522",20,5
